age,job,marital,education,default,balance,housing,loan,contact,day,quarter,duration,campaign,pdays,previous,poutcome,y
58,manager,married,tertiary,0,2143,1,0,unknown,5,second,261,1,-1,0,unknown,0
44,workforce,single,secondary,0,29,1,0,unknown,5,second,151,1,-1,0,unknown,0
33,independent,married,secondary,0,2,1,1,unknown,5,second,76,1,-1,0,unknown,0
47,workforce,married,unknown,0,1506,1,0,unknown,5,second,92,1,-1,0,unknown,0
33,nonworker,single,unknown,0,1,0,0,unknown,5,second,198,1,-1,0,unknown,0
35,manager,married,tertiary,0,231,1,0,unknown,5,second,139,1,-1,0,unknown,0
28,manager,single,tertiary,0,447,1,1,unknown,5,second,217,1,-1,0,unknown,0
42,independent,divorced,tertiary,1,2,1,0,unknown,5,second,380,1,-1,0,unknown,0
58,nonworker,married,primary,0,121,1,0,unknown,5,second,50,1,-1,0,unknown,0
43,workforce,single,secondary,0,593,1,0,unknown,5,second,55,1,-1,0,unknown,0
41,manager,divorced,secondary,0,270,1,0,unknown,5,second,222,1,-1,0,unknown,0
29,manager,single,secondary,0,390,1,0,unknown,5,second,137,1,-1,0,unknown,0
53,workforce,married,secondary,0,6,1,0,unknown,5,second,517,1,-1,0,unknown,0
58,workforce,married,unknown,0,71,1,0,unknown,5,second,71,1,-1,0,unknown,0
57,workforce,married,secondary,0,162,1,0,unknown,5,second,174,1,-1,0,unknown,0
51,nonworker,married,primary,0,229,1,0,unknown,5,second,353,1,-1,0,unknown,0
45,manager,single,unknown,0,13,1,0,unknown,5,second,98,1,-1,0,unknown,0
57,workforce,married,primary,0,52,1,0,unknown,5,second,38,1,-1,0,unknown,0
60,nonworker,married,primary,0,60,1,0,unknown,5,second,219,1,-1,0,unknown,0
33,workforce,married,secondary,0,0,1,0,unknown,5,second,54,1,-1,0,unknown,0
28,workforce,married,secondary,0,723,1,1,unknown,5,second,262,1,-1,0,unknown,0
56,manager,married,tertiary,0,779,1,0,unknown,5,second,164,1,-1,0,unknown,0
32,workforce,single,primary,0,23,1,1,unknown,5,second,160,1,-1,0,unknown,0
25,workforce,married,secondary,0,50,1,0,unknown,5,second,342,1,-1,0,unknown,0
40,nonworker,married,primary,0,0,1,1,unknown,5,second,181,1,-1,0,unknown,0
44,manager,married,secondary,0,-372,1,0,unknown,5,second,172,1,-1,0,unknown,0
39,manager,single,tertiary,0,255,1,0,unknown,5,second,296,1,-1,0,unknown,0
52,independent,married,secondary,0,113,1,1,unknown,5,second,127,1,-1,0,unknown,0
46,manager,single,secondary,0,-246,1,0,unknown,5,second,255,2,-1,0,unknown,0
36,workforce,single,secondary,0,265,1,1,unknown,5,second,348,1,-1,0,unknown,0
57,workforce,married,secondary,0,839,0,1,unknown,5,second,225,1,-1,0,unknown,0
49,manager,married,tertiary,0,378,1,0,unknown,5,second,230,1,-1,0,unknown,0
60,manager,married,secondary,0,39,1,1,unknown,5,second,208,1,-1,0,unknown,0
59,workforce,married,secondary,0,0,1,0,unknown,5,second,226,1,-1,0,unknown,0
51,manager,married,tertiary,0,10635,1,0,unknown,5,second,336,1,-1,0,unknown,0
57,workforce,divorced,secondary,0,63,1,0,unknown,5,second,242,1,-1,0,unknown,0
25,workforce,married,secondary,0,-7,1,0,unknown,5,second,365,1,-1,0,unknown,0
53,workforce,married,secondary,0,-3,0,0,unknown,5,second,1666,1,-1,0,unknown,0
36,manager,divorced,secondary,0,506,1,0,unknown,5,second,577,1,-1,0,unknown,0
37,manager,single,secondary,0,0,1,0,unknown,5,second,137,1,-1,0,unknown,0
44,workforce,divorced,secondary,0,2586,1,0,unknown,5,second,160,1,-1,0,unknown,0
50,manager,married,secondary,0,49,1,0,unknown,5,second,180,2,-1,0,unknown,0
60,workforce,married,unknown,0,104,1,0,unknown,5,second,22,1,-1,0,unknown,0
54,nonworker,married,secondary,0,529,1,0,unknown,5,second,1492,1,-1,0,unknown,0
58,nonworker,married,unknown,0,96,1,0,unknown,5,second,616,1,-1,0,unknown,0
36,manager,single,primary,0,-171,1,0,unknown,5,second,242,1,-1,0,unknown,0
